,SPI01,SPI03,SPI06,SPI09,SPI12,SPI18,SPI24,SPI36,SPI48,STI01,STI03,STI06,STI09,STI12,STI18,STI24,Water,Urban,Barren,Forest,Shrubland,Grassland,Agriculture,Wetland,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
6001,-1.131036842,-2.08490587060948,-1.91886112,-1.368944095,-0.6825432,-0.424229711,-0.276612933,-0.184826182,-0.664953686,-0.201255567,-0.089363443,-0.243235942,-1.114975244,-1.749414971,-1.629485721,-2.238958293,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6001,0.70573776,-0.399695832143677,-1.201806488,-1.251446236,-0.998075036,-0.231168372,-0.045294092,-0.038119102,-0.365438063,-1.222874816,-0.615788682,-0.8349667,-1.026231303,-1.758094334,-1.718110787,-2.357444483,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6001,1.28416833,0.228465480467199,-0.856359368,-0.81162551,-0.443474045,-0.04975014,-0.051097987,0.183390304,-0.145954932,-0.379416431,-0.914990793,-0.989392002,-0.856620232,-1.609083555,-1.719446226,-2.198603888,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6001,-1.080294276,0.84996385817609,-0.813936243,-0.893273313,-0.572771116,-0.161393409,-0.145536582,0.123443032,-0.147368827,-0.200749249,-0.827318469,-0.634083229,-0.631842054,-1.213190159,-1.607542667,-1.961432617,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6001,0.557427143,0.821065827039232,-0.138167601,-0.840049512,-0.882147695,-0.418588034,-0.127977605,0.132721831,-0.135959262,-0.782219592,-0.563936773,-0.740431273,-0.847483576,-1.01041245,-1.744528745,-1.899230259,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6001,0.806202125,-0.661147445197741,0.069885307,-0.933913496,-0.883177544,-0.197825684,-0.127529258,0.133179366,-0.135621932,-1.257138639,-0.949492387,-1.081217371,-1.097119793,-1.006837697,-1.824629813,-1.8578503,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6001,0.550209883,0.417584904644667,0.821532488,-0.810208322,-0.886512969,-0.230368493,-0.127741046,0.133138718,-0.135302151,-0.215582389,-1.164888185,-1.105779172,-0.872454701,-0.836086069,-1.721498316,-1.656897297,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6001,-0.904703805,-0.76869803384002,0.705185162,-0.180518973,-0.875077589,-0.729130977,-0.125523122,0.11490408,-0.131737403,-1.216144708,-1.407294286,-1.17149362,-1.117529936,-1.108473973,-1.736711756,-1.754577564,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6001,0.254946444,0.0191456925848587,-0.732165178,-0.029622356,-0.9719529,-0.575810221,-0.148732223,-0.084130019,-0.088218777,0.040007392,-0.642455797,-1.064468606,-1.178127867,-1.155426213,-1.63041077,-1.750186902,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6001,0.840208578,0.572545776727597,0.542040329,0.871462639,-0.564836771,-0.371101628,-0.039492344,0.179900223,0.0405426,0.374622743,-0.373650992,-0.965368703,-1.098648946,-0.894468808,-1.306836199,-1.640856988,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6001,1.328940234,1.29215292985268,1.256077468,1.341239756,0.495918132,-0.094851773,0.077836159,0.440053384,0.312115018,-0.135393907,0.144529031,-0.708532172,-0.843738562,-0.889228372,-1.098751311,-1.739204202,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6001,-1.349488313,0.551117087493712,0.44039753,0.299035182,0.250351301,-0.489359904,0.007203021,0.057635858,0.267636702,-1.290790354,-0.483094509,-0.750540185,-1.110149905,-1.217012326,-1.161700879,-1.870167022,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6001,-1.423924337,-0.388384911559926,-0.173052987,-0.18727842,0.208544086,-0.818864853,-0.342848995,-0.099505918,-0.068711428,-0.930819095,-1.196457351,-0.966367305,-1.312638207,-1.377994624,-1.132038897,-1.86095406,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
